Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
Roméo Lavia,be BEL,MF,Southampton,18-213,2004,1,0,1,0,0,1,0,0,,19.7,0,0,0,0,0,0.03,0,0,Matches,ecad9aa5
Clément Lenglet,fr FRA,DF,Tottenham,27-051,1995,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,4f28a6ff
Jefferson Lerma,co COL,DF,Bournemouth,27-286,1994,1,1,1,1,100,1,1,1,1,8.1,0,0,0,0.2,0.2,0.2,0.8,0.8,Matches,9b5ce51a
Jesse Lingard,eng ENG,MF,Nott'ham Forest,29-235,1992,1,0,1,0,0,1,0,0,,10.8,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,810e3c74
Diego Llorente,es ESP,DF,Leeds United,28-356,1993,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,bba30585
Hugo Lloris,fr FRA,GK,Tottenham,35-224,1986,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,8f62b6ee
Ruben Loftus-Cheek,eng ENG,DF,Chelsea,26-196,1996,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,e97fd090
Sean Longstaff,eng ENG,MF,Newcastle Utd,24-281,1997,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,a2b105e0
Douglas Luiz,br BRA,MF,Aston Villa,24-090,1998,0.1,0,1,0,0,10,0,0,,23,0,0,0,0,0,0.04,0,0,Matches,6f7d826d
Orel Mangala,be BEL,MF,Nott'ham Forest,24-142,1998,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,a572e291
Martinelli,br BRA,FW,Arsenal,21-050,2001,1,1,2,1,50,2,1,0.5,1,6.3,0,0,0,0.6,0.6,0.29,0.4,0.4,Matches,48a5a5d6
Emiliano Martínez,ar ARG,GK,Aston Villa,29-339,1992,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,7956236f
Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,25-040,1997,0.4,0,1,0,0,2.73,0,0,,13.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,50e6dc35
Joël Matip,cm CMR,DF,Liverpool,30-364,1991,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,b217ef29
John McGinn,sct SCO,MF,Aston Villa,27-293,1994,1,0,3,0,0,3,0,0,,26.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,90f91999
Scott McKenna,sct SCO,DF,Nott'ham Forest,25-268,1996,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,4e5a4cbc
Dwight McNeil,eng ENG,FW,Everton,22-258,1999,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,fc15fb84
Edouard Mendy,sn SEN,GK,Chelsea,30-159,1992,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,33887998
Chris Mepham,wls WAL,DF,Bournemouth,24-275,1997,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,fed96827
Illan Meslier,fr FRA,GK,Leeds United,22-158,2000,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,6b625ac2
Alexander Mighten,eng ENG,FW,Nott'ham Forest,20-118,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,10ec4169
Luka Milivojević,rs SRB,MF,Crystal Palace,31-122,1991,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,2ce2508a
James Milner,eng ENG,MF,Liverpool,36-215,1986,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,2f90f6b8
Yerry Mina,co COL,DF,Everton,27-318,1994,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,6d5701f2
Tyrick Mitchell,eng ENG,DF,Crystal Palace,22-340,1999,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,5cbd1eb0
Aleksandar Mitrović,rs SRB,FW,Fulham,27-325,1994,1,2,2,1,50,2,1,0.5,1,16.6,0,1,1,1,0.2,0.11,1,0.8,Matches,3925dbd6
Kieffer Moore,wls WAL,FW,Bournemouth,29-364,1992,1,1,1,1,100,1,1,1,1,10.8,0,0,0,0,0,0.03,1,1,Matches,01ce9e70
Mason Mount,eng ENG,FW,Chelsea,23-209,1999,0.7,0,2,1,50,2.81,1.41,0,0,21.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,9674002f
Lucas Moura,br BRA,FW,Tottenham,29-359,1992,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,2b622f01
Jacob Murphy,eng ENG,FW,Newcastle Utd,27-164,1995,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,de112b84
Vitaliy Mykolenko,ua UKR,DF,Everton,23-070,1999,1,0,1,0,0,1,0,0,,22,0,0,0,0,0,0.04,0,0,Matches,30d4a2e5
Pedro Neto,pt POR,FW,Wolves,22-151,2000,1,0,3,1,33.3,3,1,0,0,19.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,7ba2eaa9
Rúben Neves,pt POR,MF,Wolves,25-147,1997,1,0,1,0,0,1,0,0,,35,0,0,0,0,0,0.01,0,0,Matches,44bfb6c5
Moussa Niakhate,fr FRA,DF,Nott'ham Forest,26-152,1996,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,242715
Rasmus Nissen,dk DEN,DF,Leeds United,25-027,1997,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,39769cff
Eddie Nketiah,eng ENG,FW,Arsenal,23-069,1999,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,a53649b7
Darwin Núñez,uy URU,FW,Liverpool,23-044,1999,0.4,1,4,2,50,9,4.5,0.25,0.5,7.7,0,0,0,0.9,0.9,0.24,0.1,0.1,Matches,4d77b365
Lewis O'Brien,eng ENG,MF,Nott'ham Forest,23-297,1998,0.8,0,1,0,0,1.22,0,0,,27.5,0,0,0,0,0,0.02,0,0,Matches,089667a5
João Palhinha,pt POR,MF,Fulham,27-029,1995,1,0,2,0,0,2,0,0,,17.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,a78ff07f
Thomas Partey,gh GHA,MF,Arsenal,29-055,1993,1,0,1,0,0,1,0,0,,19,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,529f49ab
Nathan Patterson,sct SCO,DF,Everton,20-295,2001,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,230f0471
Ben Pearson,eng ENG,MF,Bournemouth,27-215,1995,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,a6b461e7
Andreas Pereira,br BRA,MF,Fulham,26-218,1996,1,0,1,0,0,01.02,0,0,,20.1,0,0,0,0,0,0.02,0,0,Matches,6639e500
Ivan Perišić,hr CRO,DF,Tottenham,33-186,1989,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,6fe90922
Romain Perraud,fr FRA,DF,Southampton,24-319,1997,0.2,0,2,0,0,9.47,0,0,,13.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,6dfd8f05
