Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
Sam Surridge,eng ENG,FW,Nott'ham Forest,24-010,1998,0.7,0,2,0,0,2.9,0,0,,9.1,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches,b017b770
Matt Targett,eng ENG,DF,Newcastle Utd,26-323,1995,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,e514ab62
James Tarkowski,eng ENG,DF,Everton,29-261,1992,1,0,2,2,100,2,2,0,0,12.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,15ea812b
Marcus Tavernier,eng ENG,FW,Bournemouth,23-138,1999,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,5c0da4a4
Kenny Tete,nl NED,DF,Fulham,26-302,1995,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,77d7c96f
Kieran Tierney,sct SCO,DF,Arsenal,25-063,1997,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,fce2302c
Harry Toffolo,eng ENG,DF,Nott'ham Forest,26-353,1995,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,a105d46a
Mark Travers,ie IRL,GK,Bournemouth,23-081,1999,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,fe558029
Kieran Trippier,eng ENG,DF,Newcastle Utd,31-322,1990,1,0,1,0,0,1,0,0,,26.2,1,0,0,0,0,0.01,0,0,Matches,21512407
Yan Valery,fr FRA,DF,Southampton,23-166,1999,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,531a4aa8
Virgil van Dijk,nl NED,DF,Liverpool,31-030,1991,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,e06683ca
Rúben Vinagre,pt POR,DF,Everton,23-120,1999,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,b937e490
Kyle Walker-Peters,eng ENG,DF,Southampton,25-116,1997,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,984a5a64
James Ward-Prowse,eng ENG,MF,Southampton,27-279,1994,1,1,2,1,50,2,1,0.5,1,19.1,0,0,0,0.1,0.1,0.06,0.9,0.9,Matches,3515d404
Ollie Watkins,eng ENG,FW,Aston Villa,26-220,1995,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,aed3a70f
Ben White,eng ENG,DF,Arsenal,24-303,1997,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,35e413f1
Neco Williams,wls WAL,DF,Nott'ham Forest,21-116,2001,1,0,1,0,0,1,0,0,,20.8,0,0,0,0,0,0.01,0,0,Matches,dd323728
Joe Willock,eng ENG,MF,Newcastle Utd,22-352,1999,0.9,0,3,1,33.3,3.42,1.14,0,0,19.1,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches,a3b03921
Callum Wilson,eng ENG,FW,Newcastle Utd,30-161,1992,1,1,4,2,50,04.04,02.02,0.25,0.5,8.2,0,0,0,0.5,0.5,0.13,0.5,0.5,Matches,c596fcb0
Chris Wood,nz NZL,FW,Newcastle Utd,30-243,1991,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,4e9a0555
Joe Worrall,eng ENG,DF,Nott'ham Forest,25-209,1997,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,a5212312
Granit Xhaka,ch SUI,MF,Arsenal,29-314,1992,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,e61b8aee
Wilfried Zaha,ci CIV,FW,Crystal Palace,29-270,1992,1,0,1,0,0,1,0,0,,12.8,0,0,0,0,0,0.04,0,0,Matches,b2bc3b1f
Jordan Zemura,zw ZIM,DF,Bournemouth,22-266,1999,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,e8271ad9
Oleksandr Zinchenko,ua UKR,DF,Arsenal,25-235,1996,0.9,0,1,1,100,1.1,1.1,0,0,19.7,0,0,0,0,0,0.05,0,0,Matches,51cf8561
Martin Ødegaard,no NOR,MF,Arsenal,23-233,1998,1,0,2,0,0,02.02,0,0,,22.9,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,79300479
